2020-10-22 21:39:20 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2020-10-22 21:39:20 install debian-archive-keyring:all <none> 2019.1
2020-10-22 21:39:20 status half-installed debian-archive-keyring:all 2019.1
2020-10-22 21:39:20 status unpacked debian-archive-keyring:all 2019.1
2020-10-22 21:39:20 install liblz4-1:amd64 <none> 1.8.3-1
2020-10-22 21:39:20 status half-installed liblz4-1:amd64 1.8.3-1
2020-10-22 21:39:20 status unpacked liblz4-1:amd64 1.8.3-1
2020-10-22 21:39:20 install libapt-pkg5.0:amd64 <none> 1.8.2.1
2020-10-22 21:39:20 status half-installed libapt-pkg5.0:amd64 1.8.2.1
2020-10-22 21:39:20 status unpacked libapt-pkg5.0:amd64 1.8.2.1
2020-10-22 21:39:20 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2020-10-22 21:39:20 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2020-10-22 21:39:20 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2020-10-22 21:39:20 install libnettle6:amd64 <none> 3.4.1-1
2020-10-22 21:39:20 status half-installed libnettle6:amd64 3.4.1-1
2020-10-22 21:39:20 status unpacked libnettle6:amd64 3.4.1-1
2020-10-22 21:39:20 install libhogweed4:amd64 <none> 3.4.1-1
2020-10-22 21:39:20 status half-installed libhogweed4:amd64 3.4.1-1
2020-10-22 21:39:20 status unpacked libhogweed4:amd64 3.4.1-1
2020-10-22 21:39:20 install libffi6:amd64 <none> 3.2.1-9
2020-10-22 21:39:20 status half-installed libffi6:amd64 3.2.1-9
2020-10-22 21:39:20 status unpacked libffi6:amd64 3.2.1-9
2020-10-22 21:39:20 install libp11-kit0:amd64 <none> 0.23.15-2
2020-10-22 21:39:20 status half-installed libp11-kit0:amd64 0.23.15-2
2020-10-22 21:39:20 status unpacked libp11-kit0:amd64 0.23.15-2
2020-10-22 21:39:20 install libgnutls30:amd64 <none> 3.6.7-4+deb10u5
2020-10-22 21:39:20 status half-installed libgnutls30:amd64 3.6.7-4+deb10u5
2020-10-22 21:39:20 status unpacked libgnutls30:amd64 3.6.7-4+deb10u5
2020-10-22 21:39:20 install apt:amd64 <none> 1.8.2.1
2020-10-22 21:39:20 status half-installed apt:amd64 1.8.2.1
2020-10-22 21:39:20 status unpacked apt:amd64 1.8.2.1
2020-10-22 21:39:20 upgrade base-files:amd64 10.3+deb10u6 10.3+deb10u6
2020-10-22 21:39:20 status half-configured base-files:amd64 10.3+deb10u6
2020-10-22 21:39:20 status unpacked base-files:amd64 10.3+deb10u6
2020-10-22 21:39:20 status half-installed base-files:amd64 10.3+deb10u6
2020-10-22 21:39:20 status unpacked base-files:amd64 10.3+deb10u6
2020-10-22 21:39:20 install libdebconfclient0:amd64 <none> 0.249
2020-10-22 21:39:20 status half-installed libdebconfclient0:amd64 0.249
2020-10-22 21:39:20 status unpacked libdebconfclient0:amd64 0.249
2020-10-22 21:39:20 upgrade base-passwd:amd64 3.5.46 3.5.46
2020-10-22 21:39:20 status half-configured base-passwd:amd64 3.5.46
2020-10-22 21:39:20 status unpacked base-passwd:amd64 3.5.46
2020-10-22 21:39:20 status half-installed base-passwd:amd64 3.5.46
2020-10-22 21:39:20 status unpacked base-passwd:amd64 3.5.46
2020-10-22 21:39:20 install debianutils:amd64 <none> 4.8.6.1
2020-10-22 21:39:20 status half-installed debianutils:amd64 4.8.6.1
2020-10-22 21:39:20 status unpacked debianutils:amd64 4.8.6.1
2020-10-22 21:39:20 install bash:amd64 <none> 5.0-4
2020-10-22 21:39:20 status half-installed bash:amd64 5.0-4
2020-10-22 21:39:21 status unpacked bash:amd64 5.0-4
2020-10-22 21:39:21 install bsdutils:amd64 <none> 1:2.33.1-0.1
2020-10-22 21:39:21 status half-installed bsdutils:amd64 1:2.33.1-0.1
2020-10-22 21:39:21 status unpacked bsdutils:amd64 1:2.33.1-0.1
2020-10-22 21:39:21 install coreutils:amd64 <none> 8.30-3
2020-10-22 21:39:21 status half-installed coreutils:amd64 8.30-3
2020-10-22 21:39:21 status unpacked coreutils:amd64 8.30-3
2020-10-22 21:39:21 install dash:amd64 <none> 0.5.10.2-5
2020-10-22 21:39:21 status half-installed dash:amd64 0.5.10.2-5
2020-10-22 21:39:21 status unpacked dash:amd64 0.5.10.2-5
2020-10-22 21:39:21 install diffutils:amd64 <none> 1:3.7-3
2020-10-22 21:39:21 status half-installed diffutils:amd64 1:3.7-3
2020-10-22 21:39:21 status unpacked diffutils:amd64 1:3.7-3
2020-10-22 21:39:21 install libblkid1:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:21 status half-installed libblkid1:amd64 2.33.1-0.1
2020-10-22 21:39:21 status unpacked libblkid1:amd64 2.33.1-0.1
2020-10-22 21:39:21 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2020-10-22 21:39:21 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2020-10-22 21:39:21 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2020-10-22 21:39:21 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:21 install libfdisk1:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:21 status half-installed libfdisk1:amd64 2.33.1-0.1
2020-10-22 21:39:21 status unpacked libfdisk1:amd64 2.33.1-0.1
2020-10-22 21:39:21 install libmount1:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:21 status half-installed libmount1:amd64 2.33.1-0.1
2020-10-22 21:39:21 status unpacked libmount1:amd64 2.33.1-0.1
2020-10-22 21:39:21 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2020-10-22 21:39:21 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:21 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:21 install fdisk:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:21 status half-installed fdisk:amd64 2.33.1-0.1
2020-10-22 21:39:21 status unpacked fdisk:amd64 2.33.1-0.1
2020-10-22 21:39:21 install findutils:amd64 <none> 4.6.0+git+20190209-2
2020-10-22 21:39:21 status half-installed findutils:amd64 4.6.0+git+20190209-2
2020-10-22 21:39:21 status unpacked findutils:amd64 4.6.0+git+20190209-2
2020-10-22 21:39:21 install grep:amd64 <none> 3.3-1
2020-10-22 21:39:21 status half-installed grep:amd64 3.3-1
2020-10-22 21:39:21 status unpacked grep:amd64 3.3-1
2020-10-22 21:39:21 install gzip:amd64 <none> 1.9-3
2020-10-22 21:39:21 status half-installed gzip:amd64 1.9-3
2020-10-22 21:39:21 status unpacked gzip:amd64 1.9-3
2020-10-22 21:39:21 install hostname:amd64 <none> 3.21
2020-10-22 21:39:21 status half-installed hostname:amd64 3.21
2020-10-22 21:39:21 status unpacked hostname:amd64 3.21
2020-10-22 21:39:21 install init-system-helpers:all <none> 1.56+nmu1
2020-10-22 21:39:21 status half-installed init-system-helpers:all 1.56+nmu1
2020-10-22 21:39:21 status unpacked init-system-helpers:all 1.56+nmu1
2020-10-22 21:39:21 install libc-bin:amd64 <none> 2.28-10
2020-10-22 21:39:21 status half-installed libc-bin:amd64 2.28-10
2020-10-22 21:39:21 status unpacked libc-bin:amd64 2.28-10
2020-10-22 21:39:21 install libpam-runtime:all <none> 1.3.1-5
2020-10-22 21:39:21 status half-installed libpam-runtime:all 1.3.1-5
2020-10-22 21:39:21 status unpacked libpam-runtime:all 1.3.1-5
2020-10-22 21:39:21 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2020-10-22 21:39:21 status half-configured mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:21 status unpacked mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:21 status half-installed mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:21 status unpacked mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:21 install libunistring2:amd64 <none> 0.9.10-1
2020-10-22 21:39:21 status half-installed libunistring2:amd64 0.9.10-1
2020-10-22 21:39:21 status unpacked libunistring2:amd64 0.9.10-1
2020-10-22 21:39:21 install libselinux1:amd64 <none> 2.8-1+b1
2020-10-22 21:39:21 status half-installed libselinux1:amd64 2.8-1+b1
